Date,Close,Volume
2000-02-03,10.45,5843545.0
2000-02-04,10.4,372844.0
2000-02-07,10.36,184197.0
2000-02-08,9.8,2462554.0
2000-02-09,10.01,1744445.0
2000-02-10,10.5,1649178.0
2000-02-11,9.8,2438826.0
2000-02-14,9.8,858895.0
2000-02-15,9.3,336118.0
2000-02-16,8.9,3568495.0
2000-02-17,8.9,1614363.0
2000-02-18,8.9,1124406.0
2000-02-21,8.99,186042.0
2000-02-22,8.98,971551.0
2000-02-23,8.8,733643.0
2000-02-24,8.5,339165.0
2000-02-25,8.7,4612328.0
2000-02-28,8.7,136976.0
2000-02-29,8.8,215271.0
2000-03-01,8.49,569275.0
2000-03-02,8.1,939543.0
2000-03-03,8.5,1575419.0
2000-03-08,8.5,353750.0
2000-03-09,8.39,700196.0
2000-03-10,8.25,964202.0
2000-03-13,8.0,1019070.0
2000-03-14,8.2,80160.0
2000-03-15,8.1,3470386.0
2000-03-16,8.2,185065.0
2000-03-17,8.1,716251.0
2000-03-20,8.25,704075.0
2000-03-21,8.9,677475.0
2000-03-22,8.7,215438.0
2000-03-23,8.8,3330679.0
2000-03-24,8.69,581606.0
2000-03-27,8.78,1008839.0
2000-03-28,8.59,460884.0
2000-03-29,8.3,378303.0
2000-03-30,8.4,540510.0
2000-03-31,8.6,447160.0
2000-04-03,8.46,690045.0
2000-04-04,7.85,711878.0
2000-04-05,8.0,199247.0
2000-04-06,8.27,113817.0
2000-04-07,8.45,155187.0
2000-04-10,8.2,193010.0
2000-04-11,7.94,316508.0
2000-04-12,7.9,28489.0
2000-04-13,7.55,47355.0
2000-04-14,7.0,159867.0
2000-04-17,7.0,393557.0
2000-04-18,7.1,35070.0
2000-04-19,6.9,66190.0
2000-04-20,6.99,251300.0
2000-04-24,6.95,123423.0
2000-04-25,7.1,287480.0
2000-04-26,6.85,197835.0
2000-04-27,6.85,119177.0
2000-04-28,6.74,424264.0
2000-05-02,6.4,277199.0
2000-05-03,6.0,315198.0
2000-05-04,6.29,85135.0
2000-05-05,6.37,31261.0
2000-05-08,6.28,1249.0
2000-05-09,6.25,21739.0
2000-05-10,6.18,10968.0
2000-05-11,6.1,43515.0
2000-05-12,6.0,27000.0
2000-05-15,6.0,7800.0
2000-05-16,6.0,26369.0
2000-05-17,5.54,16146.0
2000-05-18,5.74,24715.0
2000-05-19,4.95,450989.0
2000-05-22,4.6,403869.0
2000-05-23,4.3,239523.0
2000-05-24,4.15,443778.0
2000-05-25,4.0,1525086.0
2000-05-26,4.08,150532.0
2000-05-29,4.2,117018.0
2000-05-30,4.19,605935.0
2000-05-31,3.98,585160.0
2000-06-01,4.65,5231491.0
2000-06-02,4.8,4519047.0
2000-06-05,4.58,1262750.0
2000-06-06,4.54,1423296.0
2000-06-07,4.99,1152660.0
2000-06-08,4.81,1340109.0
2000-06-09,4.52,217337.0
2000-06-12,4.53,75841.0
2000-06-13,4.7,218029.0
2000-06-14,4.8,1680197.0
2000-06-15,4.99,1255706.0
2000-06-16,5.19,4348889.0
2000-06-19,5.64,8255167.0
2000-06-20,5.59,3066651.0
2000-06-21,5.39,3875240.0
2000-06-23,5.26,378484.0
2000-06-26,5.26,1071038.0
2000-06-27,5.52,2364492.0
2000-06-28,5.7,2318722.0
2000-06-29,5.95,3437346.0
2000-06-30,5.98,3298067.0
2000-07-03,5.94,3811217.0
2000-07-04,5.95,1136800.0
2000-07-05,5.94,935920.0
2000-07-06,5.84,848706.0
2000-07-07,5.93,1545627.0
2000-07-10,5.96,4588275.0
2000-07-11,5.66,1735724.0
2000-07-12,5.6,959659.0
2000-07-13,5.55,647011.0
2000-07-14,5.68,640298.0
2000-07-17,5.85,1135588.0
2000-07-18,5.69,875443.0
2000-07-19,5.5,1856127.0
2000-07-20,5.53,497649.0
2000-07-21,5.54,1014416.0
2000-07-24,5.25,2357648.0
2000-07-25,5.1,616029.0
2000-07-26,5.0,1177347.0
2000-07-27,4.98,393987.0
2000-07-28,4.8,597791.0
2000-07-31,4.75,645120.0
2000-08-01,4.58,801066.0
2000-08-02,4.79,1818298.0
2000-08-03,4.92,2104538.0
2000-08-04,4.96,1329752.0
2000-08-07,4.73,996500.0
2000-08-08,4.6,630678.0
2000-08-09,4.87,1700418.0
2000-08-10,4.99,1124690.0
2000-08-11,5.5,9206888.0
2000-08-14,5.6,5715994.0
2000-08-15,5.34,2672958.0
2000-08-16,5.24,753821.0
2000-08-17,5.37,1041286.0
2000-08-18,5.14,773114.0
2000-08-21,5.05,328713.0
2000-08-22,5.05,682738.0
2000-08-23,4.98,541493.0
2000-08-24,4.94,474287.0
2000-08-25,5.0,305149.0
2000-08-28,5.04,282112.0
2000-08-29,5.16,273868.0
2000-08-30,5.2,348651.0
2000-08-31,5.15,139345.0
2000-09-01,5.15,170939.0
2000-09-04,5.28,934426.0
2000-09-05,5.2,774291.0
2000-09-06,5.14,687691.0
2000-09-08,5.12,349836.0
2000-09-11,5.0,594841.0
2000-09-12,5.0,699956.0
2000-09-13,5.02,277155.0
2000-09-14,5.05,362038.0
2000-09-15,4.98,310301.0
2000-09-18,4.72,472931.0
2000-09-19,4.9,524345.0
2000-09-20,4.79,229563.0
2000-09-21,4.9,270238.0
2000-09-22,5.05,480147.0
2000-09-25,5.18,817495.0
2000-09-26,5.07,1491008.0
2000-09-27,5.05,773238.0
2000-09-28,5.05,46116.0
2000-09-29,4.9,135064.0
2000-10-02,4.72,529746.0
2000-10-03,4.9,507001.0
2000-10-04,5.07,507813.0
2000-10-05,5.09,661101.0
2000-10-06,4.99,333724.0
2000-10-09,5.0,362790.0
2000-10-10,4.9,268612.0
2000-10-11,4.89,236297.0
2000-10-13,4.7,414939.0
2000-10-16,4.68,156177.0
2000-10-17,4.65,518701.0
2000-10-18,4.59,377585.0
2000-10-19,4.67,386130.0
2000-10-20,4.55,161101.0
2000-10-23,4.3,201604.0
2000-10-24,4.38,191932.0
2000-10-25,4.36,269140.0
2000-10-26,4.3,179236.0
2000-10-27,4.42,319255.0
2000-10-30,4.46,481645.0
2000-10-31,4.54,414611.0
2000-11-01,4.42,350858.0
2000-11-03,4.4,225934.0
2000-11-06,4.29,222518.0
2000-11-07,4.29,174607.0
2000-11-08,4.17,250219.0
2000-11-09,4.1,399094.0
2000-11-10,3.96,343431.0
2000-11-13,3.76,1037831.0
2000-11-14,3.96,467798.0
2000-11-16,3.9,46935.0
2000-11-17,3.82,350094.0
2000-11-20,3.76,146310.0
2000-11-21,3.78,405206.0
2000-11-22,3.78,214952.0
2000-11-23,3.65,69175.0
2000-11-24,3.65,261262.0
2000-11-27,3.56,186093.0
2000-11-28,3.34,496138.0
2000-11-29,3.56,292683.0
2000-11-30,3.3,760746.0
2000-12-01,3.3,169442.0
2000-12-04,3.5,83715.0
2000-12-05,3.94,134872.0
2000-12-06,3.6,225871.0
2000-12-07,3.7,128831.0
2000-12-08,3.8,218705.0
2000-12-11,3.81,214433.0
2000-12-12,3.5,127496.0
2000-12-13,3.75,169110.0
2000-12-14,3.76,201344.0
2000-12-15,3.75,91332.0
2000-12-18,3.74,163002.0
2000-12-19,3.65,442120.0
2000-12-20,3.6,314241.0
2000-12-21,3.5,233756.0
2000-12-22,3.47,85997.0
2000-12-26,3.5,390580.0
2000-12-27,3.51,132825.0
2000-12-28,3.55,61784.0
2000-01-11,6.8,3150988.0
2000-01-12,7.45,2710819.0
2000-01-13,7.5,526790.0
2000-01-14,7.59,1427187.0
2000-01-17,8.5,2477106.0
2000-01-18,9.0,2649584.0
2000-01-19,8.8,1458117.0
2000-01-20,9.6,1769893.0
2000-01-21,10.9,13512961.0
2000-01-24,10.97,11927961.0
2000-01-26,11.0,1612892.0
2000-01-27,10.7,852866.0
2000-01-28,10.49,611628.0
2000-01-31,9.85,621168.0
2000-02-01,9.9,2029585.0
2000-02-02,10.39,379443.0
2000-01-03,7.15,1782030.0
2000-01-04,6.81,1079257.0
2000-01-05,6.7,1032874.0
2000-01-06,6.9,1096835.0
2000-01-07,7.0,754008.0
2000-01-10,7.28,1311425.0
2001-01-02,3.65,212640.0
2001-01-03,3.9,327319.0
2001-01-04,3.84,320096.0
2001-01-05,3.7,467070.0
2001-01-08,3.7,240100.0
2001-01-09,3.87,1567205.0
2001-01-10,4.3,2585869.0
2001-01-11,4.5,4432979.0
2001-01-12,4.12,1170820.0
2001-01-15,4.24,248069.0
2001-01-16,4.3,541859.0
2001-01-17,4.36,617314.0
2001-01-18,4.3,567652.0
2001-01-19,4.43,638589.0
2001-01-22,4.3,245412.0
2001-01-23,4.5,1814140.0
2001-01-24,4.4,469009.0
2001-01-26,4.52,532562.0
2001-01-29,4.51,597256.0
2001-01-30,4.45,941317.0
2001-01-31,4.6,3707424.0
2001-02-01,4.6,1497859.0
2001-02-02,4.6,563247.0
2001-02-05,4.94,2054283.0
2001-02-06,4.9,2448544.0
2001-02-07,4.62,1299231.0
2001-02-08,4.85,949284.0
2001-02-09,4.85,135679.0
2001-02-12,4.85,622525.0
2001-02-13,4.94,618296.0
2001-02-14,4.94,4057215.0
2001-02-15,5.1,1827598.0
2001-02-16,4.95,2385999.0
2001-02-19,4.86,506142.0
2001-02-20,4.75,496464.0
2001-02-21,4.51,347442.0
2001-02-22,4.7,264010.0
2001-02-23,5.1,1012328.0
2001-02-28,4.9,425190.0
2001-03-01,4.99,227340.0
2001-03-02,4.95,842192.0
2001-03-05,4.89,253702.0
2001-03-06,4.72,272023.0
2001-03-07,4.78,257592.0
2001-03-08,4.79,544780.0
2001-03-09,4.7,165344.0
2001-03-12,4.38,551549.0
2001-03-13,4.36,157610.0
2001-03-14,4.3,223083.0
2001-03-15,4.2,266882.0
2001-03-16,4.3,277750.0
2001-03-19,4.1,115491.0
2001-03-20,3.98,134069.0
2001-03-21,3.95,219871.0
2001-03-22,3.69,84896.0
2001-03-23,3.7,278556.0
2001-03-26,3.9,255100.0
2001-03-27,3.85,125759.0
2001-03-28,3.7,176685.0
2001-03-29,3.64,167028.0
2001-03-30,3.45,551213.0
2001-04-02,3.29,124074.0
2001-04-03,3.0,180728.0
2001-04-04,2.9,858805.0
2001-04-05,2.84,908759.0
2001-04-06,2.68,690323.0
2001-04-09,2.57,413524.0
2001-04-10,2.75,1486505.0
2001-04-11,2.8,516391.0
2001-04-12,2.89,238603.0
2001-04-16,2.66,80375.0
2001-04-17,2.71,175856.0
2001-04-18,2.8,315753.0
2001-04-19,2.79,168727.0
2001-04-20,2.62,134546.0
2001-04-23,2.69,92729.0
2001-04-24,2.53,88716.0
2001-04-25,2.47,110377.0
2001-04-26,2.74,2310775.0
2001-04-27,2.6,1244665.0
2001-04-30,2.54,670864.0
2001-05-02,2.49,312768.0
2001-05-03,2.48,385287.0
2001-05-04,2.57,345715.0
2001-05-07,2.55,211655.0
2001-05-08,2.6,444783.0
2001-05-09,2.6,146196.0
2001-05-10,2.69,946429.0
2001-05-11,2.5,291871.0
2001-05-14,2.4,198281.0
2001-05-15,2.3,245834.0
2001-05-16,2.37,257185.0
2001-05-17,2.35,156817.0
2001-05-18,2.32,94487.0
2001-05-21,2.26,192793.0
2001-05-22,2.15,599879.0
2001-05-23,2.0,291728.0
2001-05-24,1.94,368136.0
2001-05-25,1.93,349582.0
2001-05-28,1.98,33197.0
2001-05-29,2.01,187858.0
2001-05-30,1.99,41844.0
2001-05-31,1.99,71627.0
2001-06-01,2.0,240058.0
2001-06-04,2.11,502201.0
2001-06-05,2.13,247017.0
2001-06-06,2.14,229224.0
2001-06-07,2.31,690765.0
2001-06-08,2.32,252933.0
2001-06-11,2.19,237012.0
2001-06-12,2.15,299894.0
2001-06-13,2.25,64021.0
2001-06-15,2.17,57777.0
2001-06-18,2.03,181338.0
2001-06-19,2.01,193436.0
2001-06-20,2.02,210726.0
2001-06-21,2.13,1268640.0
2001-06-22,2.1,407249.0
2001-06-25,2.1,600358.0
2001-06-26,2.24,350510.0
2001-06-27,2.18,441222.0
2001-06-28,2.15,113433.0
2001-06-29,2.08,446203.0
2001-07-02,2.1,225695.0
2001-07-03,2.12,154224.0
2001-07-04,2.13,411185.0
2001-07-05,2.13,200842.0
2001-07-06,2.15,684741.0
2001-07-10,2.06,68855.0
2001-07-11,2.07,154187.0
2001-07-12,2.04,224729.0
2001-07-13,2.13,876945.0
2001-07-16,2.02,18763.0
2001-07-17,2.1,106279.0
2001-07-18,2.05,98195.0
2001-07-19,2.0,399082.0
2001-07-20,2.02,59866.0
2001-07-23,2.08,58017.0
2001-07-24,2.0,225575.0
2001-07-25,1.98,182806.0
2001-07-26,1.98,60266.0
2001-07-27,1.99,88300.0
2001-07-30,1.97,99094.0
2001-07-31,1.91,107930.0
2001-08-01,1.94,90192.0
2001-08-02,1.94,107552.0
2001-08-03,1.97,35781.0
2001-08-06,2.06,41905.0
2001-08-07,2.1,79684.0
2001-08-08,2.1,103221.0
2001-08-09,2.17,262208.0
2001-08-10,2.49,730870.0
2001-08-13,2.43,256598.0
2001-08-14,2.34,48559.0
2001-08-15,2.32,94617.0
2001-08-16,2.31,14126.0
2001-08-17,2.15,212895.0
2001-08-20,2.18,121435.0
2001-08-21,2.2,226049.0
2001-08-22,2.21,247410.0
2001-08-23,2.22,112981.0
2001-08-24,2.3,20205.0
2001-08-27,2.28,38944.0
2001-08-28,2.23,53248.0
2001-08-29,2.3,113456.0
2001-08-30,2.28,54047.0
2001-08-31,2.4,95382.0
2001-09-03,2.31,23199.0
2001-09-04,2.32,59029.0
2001-09-05,2.26,94828.0
2001-09-06,2.27,71826.0
2001-09-10,2.2,109221.0
2001-09-11,2.2,5500.0
2001-09-12,2.03,143250.0
2001-09-13,1.95,197053.0
2001-09-14,1.8,194592.0
2001-09-17,1.9,92425.0
2001-09-18,2.09,263613.0
2001-09-19,2.02,41544.0
